from_pieza_serial,to_pieza_serial,lado
RC003-P04-04,RC003-P04-05,derecha
RC003-P04-05,RC003-P04-06,derecha
RC003-P01-01,RC003-P02-01,abajo
RC003-P01-02,RC003-P02-02,abajo
RC003-P01-03,RC003-P02-03,abajo
RC003-P01-04,RC003-P02-04,abajo
RC003-P01-05,RC003-P02-05,abajo
RC003-P01-06,RC003-P02-06,abajo
RC003-P02-01,RC003-P03-01,abajo
RC003-P02-02,RC003-P03-02,abajo
RC003-P02-03,RC003-P03-03,abajo
RC003-P02-04,RC003-P03-04,abajo
RC003-P02-05,RC003-P03-05,abajo
RC003-P02-06,RC003-P03-06,abajo
RC003-P03-01,RC003-P04-01,abajo
RC003-P03-02,RC003-P04-02,abajo
RC003-P03-03,RC003-P04-03,abajo
RC003-P03-04,RC003-P04-04,abajo
RC003-P03-05,RC003-P04-05,abajo
RC003-P03-06,RC003-P04-06,abajo
RC004-P01-01,RC004-P01-02,derecha
RC004-P01-02,RC004-P01-03,derecha
RC004-P01-03,RC004-P01-04,derecha
RC004-P01-04,RC004-P01-05,derecha
RC004-P01-05,RC004-P01-06,derecha
RC004-P02-01,RC004-P02-02,derecha
RC004-P02-02,RC004-P02-03,derecha
RC004-P02-03,RC004-P02-04,derecha
RC004-P02-04,RC004-P02-05,derecha
RC004-P02-05,RC004-P02-06,derecha
RC004-P03-01,RC004-P03-02,derecha
RC004-P03-02,RC004-P03-03,derecha
RC004-P03-03,RC004-P03-04,derecha
RC004-P03-04,RC004-P03-05,derecha
RC004-P03-05,RC004-P03-06,derecha
RC004-P04-01,RC004-P04-02,derecha
RC004-P04-02,RC004-P04-03,derecha
RC004-P04-03,RC004-P04-04,derecha
RC004-P04-04,RC004-P04-05,derecha
RC004-P04-05,RC004-P04-06,derecha
RC004-P01-01,RC004-P02-01,abajo
RC004-P01-02,RC004-P02-02,abajo
RC004-P01-03,RC004-P02-03,abajo
RC004-P01-04,RC004-P02-04,abajo
RC004-P01-05,RC004-P02-05,abajo
RC004-P01-06,RC004-P02-06,abajo
RC004-P02-01,RC004-P03-01,abajo
RC004-P02-02,RC004-P03-02,abajo
RC004-P02-03,RC004-P03-03,abajo
RC004-P02-04,RC004-P03-04,abajo
RC004-P02-05,RC004-P03-05,abajo
RC004-P02-06,RC004-P03-06,abajo
RC004-P03-01,RC004-P04-01,abajo
RC004-P03-02,RC004-P04-02,abajo
RC004-P03-03,RC004-P04-03,abajo
RC004-P03-04,RC004-P04-04,abajo
RC004-P03-05,RC004-P04-05,abajo
RC004-P03-06,RC004-P04-06,abajo
RC005-P01,RC005-P02,abajo
RC005-P02,RC005-P03,abajo
RC005-P03,RC005-P04,izquierda
RC005-P05,RC005-P06,abajo
RC005-P06,RC005-P07,abajo
RC005-P08,RC005-P09,abajo
RC005-P09,RC005-P10,derecha
RC006-P01,RC006-P04,abajo
RC006-P04,RC006-P03,izquierda
RC006-P03,RC006-P02,izquierda
RC006-P04,RC006-P06,derecha
RC006-P06,RC006-P07,derecha
RC006-P04,RC006-P05,abajo
RC006-P05,RC006-P08,abajo
RC006-P05,RC006-P09,derecha
RC006-P09,RC006-P10,derecha
RC007-P01,RC007-P04,derecha
RC007-P04,RC007-P05,derecha
RC007-P05,RC007-P03,abajo
RC007-P03,RC007-P06,abajo
RC007-P06,RC007-P07,abajo
RC007-P01,RC007-P02,abajo
RC007-P10,RC007-P11,abajo
RC007-P11,RC007-P12,abajo
RC007-P11,RC007-P08,izquierda
RC007-P12,RC007-P09,izquierda
RC007-P11,RC007-P13,derecha
RC007-P12,RC007-P14,derecha
RC008-P01,RC008-P02,abajo
RC008-P02,RC008-P03,abajo
RC008-P04,RC008-P05,abajo
RC008-P05,RC008-P06,derecha
RC008-P05,RC008-P07,abajo
RC008-P08,RC008-P09,abajo
RC008-P09,RC008-P10,abajo
RC008-P10,RC008-P11,derecha
RC008-P10,RC008-P12,abajo
RC008-P11,RC008-P13,abajo
